,Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.,genres
0,J A N U A R Y,5,Insidious: The Last Key,Universal Pictures / Blumhouse Productions / Stage 6 Films,"Adam Robitel (director); Leigh Whannell (screenplay); Lin Shaye, Angus Sampson, Leigh Whannell, Spencer Locke, Caitlin Gerard, Bruce Davison",[2],,Horror Mystery Thriller
1,J A N U A R Y,5,The Strange Ones,Vertical Entertainment,"Christopher Radcliff (director/screenplay); Lauren Wolkstein (director); Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones, Owen Campbell, Tobias Campbell",[3],,Drama Mystery
2,J A N U A R Y,12,The Commuter,Lionsgate / StudioCanal / The Picture Company,"Jaume Collet-Serra (director); Byron Willinger, Philip de Blasi, Ryan Engle (screenplay); Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Sam Neill",[4],,Action Thriller Mystery
3,J A N U A R Y,12,Proud Mary,Screen Gems,"Babak Najafi (director); John S. Newman, Christian Swegal, Steve Antin (screenplay); Taraji P. Henson, Jahi Di'Allo Winston, Billy Brown, Danny Glover",[5],,Thriller Action Crime
4,J A N U A R Y,12,Acts of Violence,Lionsgate Premiere,"Brett Donowho (director); Nicolas Aaron Mezzanatto (screenplay); Bruce Willis, Cole Hauser, Shawn Ashmore, Ashton Holmes, Melissa Bolona, Sophia Bush, Mike Epps",[6],,Action Crime Thriller
5,J A N U A R Y,12,Freak Show,IFC Films,"Trudie Styler (director); Patrick J. Clifton, Beth Rigazio (screenplay); Alex Lawther, Abigail Breslin, AnnaSophia Robb, Ian Nelson, Celia Weston, Laverne Cox, Bette Midler",[7],,Comedy Drama
6,J A N U A R Y,12,Humor Me,Shout! Factory / Shout! Studios,"Sam Hoffman (director/screenplay); Jemaine Clement, Elliott Gould, Ingrid Michaelson, Annie Potts, Priscilla Lopez, Bebe Neuwirth, Maria Dizzia",[8],,Comedy
7,J A N U A R Y,19,12 Strong,Warner Bros. Pictures / Alcon Entertainment / Black Label Media / Jerry Bruckheimer Films,"Nicolai Fuglsig (director); Ted Tally, Peter Craig (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill",[9],,War Drama Action History
8,J A N U A R Y,19,Den of Thieves,STX Entertainment,"Christian Gudegast (director/screenplay); Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",[10],,Action Thriller Crime
9,J A N U A R Y,19,Forever My Girl,Roadside Attractions,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey, Abby Ryder Fortson, Travis Tritt",[11],,Romance Drama Music
10,J A N U A R Y,25,Thane of East County,Folk Process Films / Summer Hill Entertainment,"Jesse Keller (director/screenplay); Carr Cavender, Molly Beucher, Connor Sullivan, Karl Backus, Joshua Alan Jones, Ron Christopher Jones, Brian Patrick Butler",[12],,Drama Thriller
11,J A N U A R Y,26,Maze Runner: The Death Cure,20th Century Fox,"Wes Ball (director); T. S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Nathalie Emmanuel, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Ki Hong Lee, Barry Pepper, Will Poulter, Patricia Clarkson",[13],,Science Fiction Action Adventure Thriller
12,J A N U A R Y,26,Please Stand By,Magnolia Pictures,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve, River Alexander, Patton Oswalt",[14],,Comedy Drama
13,F E B R U A R Y,2,Winchester,Lionsgate / CBS Films,"The Spierig Brothers (director/screenplay); Tom Vaughan (screenplay); Helen Mirren, Jason Clarke, Sarah Snook",[15],,Horror Thriller
14,F E B R U A R Y,2,A Fantastic Woman,Sony Pictures Classics,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes Morandé",[16],,Drama
15,F E B R U A R Y,2,Armed,GVN Releasing,"Mario Van Peebles (director/screenplay); Mario Van Peebles, Ryan Guzman, Columbus Short, Jemma Dallender, Brad Carter, Shakira Barrera, Laz Alonso, Dionne Warwick, Melvin Van Peebles, Roland Martin, Rocsi Diaz, Van Jones, Paul Rodriguez, William Fichtner",[17],,Action Thriller
16,F E B R U A R Y,4,The Cloverfield Paradox,Paramount Pictures / Netflix / Bad Robot Productions,"Julius Onah (director); Oren Uziel (screenplay); Gugu Mbatha-Raw, Elizabeth Debicki, Aksel Hennie, Daniel Brühl, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi",[18],,Horror Science Fiction Action Thriller
17,F E B R U A R Y,6,Bad Apples,Uncork'd Entertainment,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle",[19],,Horror
18,F E B R U A R Y,9,Peter Rabbit,Columbia Pictures / Sony Pictures Animation / Animal Logic,"Will Gluck (director/screenplay); Rob Lieber (screenplay); Rose Byrne, Domhnall Gleeson, Sam Neill, Daisy Ridley, Elizabeth Debicki, Marianne Jean-Baptiste, Margot Robbie, James Corden",[20],,Animation Adventure Family
19,F E B R U A R Y,9,Pad Man,Columbia Pictures / KriArj Entertainment,"R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar, Radhika Apte",,,Comedy Drama
20,F E B R U A R Y,9,Fifty Shades Freed,Universal Pictures / Michael De Luca Productions,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Marcia Gay Harden",[21],,Drama Romance
21,F E B R U A R Y,9,The 15:17 to Paris,Warner Bros. Pictures / Village Roadshow Pictures / Access Entertainment,"Clint Eastwood (director); Dorothy Blyskal (screenplay); Anthony Sadler, Alek Skarlatos, Spencer Stone",[22],,Drama Thriller
22,F E B R U A R Y,9,Permission,Good Dead Entertainment,"Brian Crano (director/screenplay); Rebecca Hall, Dan Stevens, Gina Gershon, François Arnaud, Morgan Spector, David Joseph Craig, Jason Sudeikis",[23],,Comedy Romance Drama
23,F E B R U A R Y,9,Golden Exits,Vertical Entertainment / Stage 6 Films,"Alex Ross Perry (director/screenplay); Emily Browning, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman, Chloë Sevigny, Analeigh Tipton",[24],,Drama
24,F E B R U A R Y,16,Black Panther,Marvel Studios,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis",[25],,Action Adventure Science Fiction
25,F E B R U A R Y,16,Nostalgia,Bleecker Street,"Mark Pellington (director/screenplay); Alex Ross Perry (screenplay); Jon Hamm, Catherine Keener, John Ortiz, Nick Offerman, James LeGros, Bruce Dern, Ellen Burstyn",[26],,Drama Crime
26,F E B R U A R Y,16,Samson,Pure Flix,"Bruce Macdonald (director); Jason Baumgardner, Zach Smith, Timothy Ratajczak, Galen Gilbert (screenplay); Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Rutger Hauer, Lindsay Wagner",[27],,Action Drama Adventure
27,F E B R U A R Y,23,Game Night,Warner Bros. Pictures / New Line Cinema / Access Entertainment,"John Francis Daley, Jonathan Goldstein (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall, Kyle Chandler",[28],,Mystery Comedy Crime
28,F E B R U A R Y,23,Annihilation,Paramount Pictures / Netflix / Skydance Media / DNA Films,"Alex Garland (director/screenplay); Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac",[29],,Science Fiction Horror
29,F E B R U A R Y,23,Every Day,Orion Pictures,"Michael Sucsy (director); Jesse Andrews (screenplay); Angourie Rice, Justice Smith, Debby Ryan, Maria Bello",[30],,Romance Fantasy
30,F E B R U A R Y,23,The Cured,IFC Films,"David Freyne (director/screenplay); Ellen Page, Sam Keeley, Tom Vaughan-Lawlor",[31],,Horror Drama Science Fiction
31,M A R C H,2,Red Sparrow,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Francis Lawrence (director); Justin Haythe (screenplay); Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Jeremy Irons",[32],,Thriller Mystery
32,M A R C H,2,Death Wish,Metro-Goldwyn-Mayer,"Eli Roth (director); Joe Carnahan (screenplay); Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Dean Norris, Kimberly Elise",[33],,Action Crime Drama Thriller
33,M A R C H,2,The Vanishing of Sidney Hall,A24,"Shawn Christensen (director/screenplay); Jason Dolan (screenplay); Logan Lerman, Elle Fanning, Michelle Monaghan, Nathan Lane, Kyle Chandler",[34],,Drama Mystery Romance
34,M A R C H,2,Pickings,Digital Magic Entertainment,"Usher Morgan (director/screenplay); Elyse Price, Katie Vincent, Joel Bernard, Joe Trombino, Emil Ferzola, Yaron Urbas",[35],,Thriller Action Crime Drama Mystery
35,M A R C H,9,A Wrinkle in Time,Walt Disney Pictures,"Ava DuVernay (director); Jennifer Lee, Jeff Stockwell (screenplay); Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Gugu Mbatha-Raw, Michael Peña, Zach Galifianakis, Chris Pine",[36],,Adventure Science Fiction Family Fantasy
36,M A R C H,9,Gringo,Amazon Studios / STX Entertainment,"Nash Edgerton (director); Matthew Stone, Anthony Tambakis (screenplay); David Oyelowo, Charlize Theron, Joel Edgerton, Amanda Seyfried, Thandiwe Newton, Sharlto Copley",[37],,Comedy Action Crime
37,M A R C H,9,Thoroughbreds,Focus Features,"Cory Finley (director/screenplay); Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift",[38],,Drama Thriller
38,M A R C H,9,The Strangers: Prey at Night,Aviron Pictures / Rogue,"Johannes Roberts (director); Bryan Bertino, Ben Ketai (screenplay); Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",[39],,Horror Thriller
39,M A R C H,9,The Hurricane Heist,Entertainment Studios,"Rob Cohen (director); Scott Windhauser, Jeff Dixon (screenplay); Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, James Cutler, Ben Cross",[40],,Action Crime Thriller
40,M A R C H,16,Tomb Raider,Warner Bros. Pictures / GK Films / Metro-Goldwyn-Mayer / Square-Enix,"Roar Uthaug (director); Geneva Robertson-Dworet, Alastair Siddons (screenplay); Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas",[41],,Action Adventure Fantasy
41,M A R C H,16,"Love, Simon",20th Century Fox / Fox 2000 Pictures / TSG Entertainment,"Greg Berlanti (director); Isaac Aptaker, Elizabeth Berger (screenplay); Nick Robinson, Josh Duhamel, Jennifer Garner",[42],,Comedy Drama Romance
42,M A R C H,16,I Can Only Imagine,Roadside Attractions / Lionsgate,"Erwin brothers (directors); Jon Erwin, Brent McCorkle (screenplay); J. Michael Finley, Madeline Carroll, Trace Adkins, Priscilla Shirer, Cloris Leachman, Dennis Quaid",[43],,Music Drama
43,M A R C H,16,Entebbe,Focus Features / StudioCanal / Participant Media / Working Title Films,"José Padilha (director); Gregory Burke (screenplay); Rosamund Pike, Daniel Brühl, Eddie Marsan, Ben Schnetzer, Lior Ashkenazi, Denis Ménochet",[44],,Thriller Drama Crime
44,M A R C H,16,Furlough,IFC Films,"Laurie Collyer (director); Barry Strugatz (screenplay); Tessa Thompson, Melissa Leo, Whoopi Goldberg, Anna Paquin",[45],,Comedy
45,M A R C H,16,Josie,Screen Media Films,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer, Micah Fitzgerald, Lombardo Boyar, Daeg Faerch, Robin Bartlett, Kurt Fuller",[46],,Thriller Drama
46,M A R C H,16,Flower,The Orchard,"Max Winkler (director/screenplay); Alex McAulay, Matt Spicer (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Adam Scott, Joey Morgan, Dylan Gelula",[47],,Comedy Drama
47,M A R C H,23,Pacific Rim Uprising,Universal Pictures / Legendary Pictures,"Steven S. DeKnight (director/screenplay); Emily Carmichael, Kira Snyder, T. S. Nowlin (screenplay); John Boyega, Scott Eastwood, Jing Tian, Cailee Spaeny, Rinko Kikuchi, Burn Gorman, Adria Arjona, Zhang Jin, Charlie Day",[48],,Action Fantasy Science Fiction Adventure
48,M A R C H,23,Isle of Dogs,Fox Searchlight Pictures / Indian Paintbrush,"Wes Anderson (director/screenplay); Bryan Cranston, Koyu Rankin, Edward Norton, Liev Schreiber, Bill Murray, Bob Balaban, Jeff Goldblum, Scarlett Johansson, Kunichi Nomura, Tilda Swinton, Ken Watanabe, Akira Ito, Greta Gerwig, Akira Takayama, Frances McDormand, F. Murray Abraham, Yojiro Noda, Fisher Stevens, Mari Natsuki, Nijirō Murakami, Yoko Ono, Harvey Keitel, Frank Wood",[49],,Adventure Comedy Animation
49,M A R C H,23,Sherlock Gnomes,Paramount Pictures / Paramount Animation / Metro-Goldwyn-Mayer / Rocket Pictures,"John Stevenson (director); Ben Zazove (screenplay); James McAvoy, Emily Blunt, Chiwetel Ejiofor, Michael Caine, Ashley Jensen, Maggie Smith, Matt Lucas, Stephen Merchant, Ozzy Osbourne, Mary J. Blige, Julie Walters, Richard Wilson, Jamie Demetriou, Johnny Depp, Dexter Fletcher, James Hong, Eve Webster, Julio Bonet",[50],,Animation Family Fantasy Comedy Adventure Mystery
50,M A R C H,23,Unsane,Bleecker Street / Regency Enterprises,"Steven Soderbergh (director); Jonathan Bernstein, James Greer (screenplay); Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple, Aimee Mullins, Amy Irving, Matt Damon",[51],,Horror Thriller
51,M A R C H,23,"Paul, Apostle of Christ",Affirm Films,"Andrew Hyatt (director/screenplay); Jim Caviezel, Olivier Martinez, James Faulkner, Joanne Whalley, John Lynch",[52],,Drama
52,M A R C H,23,Final Portrait,Sony Pictures Classics,"Stanley Tucci (director/screenplay); Geoffrey Rush, Armie Hammer, Clémence Poésy, Tony Shalhoub, James Faulkner, Sylvie Testud",[53],,History Drama
53,M A R C H,23,Midnight Sun,Global Road Entertainment,"Scott Speer (director); Eric Kirsten (screenplay); Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew",[54],,Romance Drama
54,M A R C H,29,Ready Player One,Warner Bros. Pictures / Village Roadshow Pictures / Access Entertainment / Amblin Entertainment,"Steven Spielberg (director); Zak Penn, Ernest Cline (screenplay); Tye Sheridan, Olivia Cooke, Ben Mendelsohn, T.J. Miller, Simon Pegg, Mark Rylance",[55],,Adventure Action Science Fiction
55,M A R C H,30,Acrimony,Lionsgate / Tyler Perry Films,"Tyler Perry (director/screenplay); Taraji P. Henson, Lyriq Bent, Crystle Stewart, Ptosha Storey, Jazmyn Simon, Ajiona Alexus, Antonio Madison, Bresha Webb, Danielle Nicolet, Nelson Estevez, Kendrick Cross",[56],,Drama Thriller
56,M A R C H,30,God's Not Dead: A Light in Darkness,Pure Flix,"Michael Mason (director/screenplay); David A. R. White, John Corbett, Shane Harper, Ted McGinley, Tatum O'Neal",[57],,Drama Fantasy
57,M A R C H,30,Gemini,Neon,"Aaron Katz (director/screenplay); Lola Kirke, Zoë Kravitz, Greta Lee, Nelson Franklin, Reeve Carney, Jessica Parker Kennedy, Ricki Lake, John Cho",[58],,Mystery Crime Drama Thriller
58,M A R C H,30,The Last Movie Star,A24,"Adam Rifkin (director/screenplay); Burt Reynolds, Ariel Winter, Clark Duke, Ellar Coltrane, Chevy Chase",[59],,Drama
59,A P R I L,6,A Quiet Place,Paramount Pictures / Platinum Dunes / Sunday Night Productions,"John Krasinski (director/screenplay); Bryan Woods, Scott Beck (screenplay); Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",,[60],Horror Drama Science Fiction
60,A P R I L,6,Blockers,Universal Pictures / Good Universe / Point Grey Pictures,"Kay Cannon (director); Brian Kehoe, Jim Kehoe (screenplay); Leslie Mann, Ike Barinholtz, John Cena",,[61],Comedy
61,A P R I L,6,You Were Never Really Here,Amazon Studios,"Lynne Ramsay (director/screenplay); Joaquin Phoenix, Judith Roberts, Ekaterina Samsonov, John Doman, Alex Manette, Dante Pereira-Olson, Alessandro Nivola",,[62],Crime Drama Thriller
62,A P R I L,6,Chappaquiddick,Entertainment Studios,"John Curran (director); Taylor Allen, Andrew Logan (screenplay); Jason Clarke, Kate Mara, Ed Helms, Jim Gaffigan, Clancy Brown, Olivia Thirlby, Bruce Dern",,[63],History Drama Thriller
63,A P R I L,6,The Miracle Season,LD Entertainment,"Sean McNamara (director); David Aaron Cohen, Elissa Matsueda (screenplay); Erin Moriarty, Helen Hunt, William Hurt, Danika Yarosh",,[64],Drama
64,A P R I L,11,Beirut,Bleecker Street,"Brad Anderson (director); Tony Gilroy (screenplay); Jon Hamm, Rosamund Pike, Dean Norris, Larry Pine, Shea Whigham",,[26],Action Thriller Drama
65,A P R I L,13,Rampage,Warner Bros. Pictures / New Line Cinema / Seven Bucks Productions,"Brad Peyton (director); Ryan Engle, Carlton Cuse, Ryan Condal, Adam Sztykiel (screenplay); Dwayne Johnson, Naomie Harris, Malin Åkerman, Jake Lacy, Jeffrey Dean Morgan",,[65],Action Adventure Science Fiction
66,A P R I L,13,Truth or Dare,Universal Pictures / Blumhouse Productions,"Jeff Wadlow (director/screenplay); Michael Reisz, Jillian Jacobs, Chris Roach (screenplay); Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto, Landon Liboiron",,[66],Thriller Horror
67,A P R I L,13,The Rider,Sony Pictures Classics,"Chloé Zhao (director/screenplay); Brady Jandreau, Lilly Jandreau, Tim Jandreau, Lane Scott, Cat Clifford",,[67],Drama Western
68,A P R I L,13,Sgt. Stubby: An American Hero,Fun Academy Motion Pictures / Mikros Image,"Richard Lanni (director/screenplay); Mike Stokey (screenplay); Logan Lerman, Helena Bonham Carter, Gérard Depardieu",,[68],Animation Adventure Family History War
69,A P R I L,20,I Feel Pretty,STX Entertainment,"Abby Kohn, Marc Silverstein (director/screenplay); Amy Schumer, Michelle Williams, Rory Scovel, Emily Ratajkowski, Aidy Bryant, Tom Hopper, Naomi Campbell, Lauren Hutton",,[69],Comedy Romance
70,A P R I L,20,Super Troopers 2,Fox Searchlight Pictures,"Jay Chandrasekhar (director); Broken Lizard (screenplay); Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske, Rob Lowe, Brian Cox",,[70],Comedy Crime Mystery
71,A P R I L,20,Traffik,Summit Entertainment / Codeblack Films,"Deon Taylor (director/screenplay); Paula Patton, Omar Epps, Laz Alonso, Roselyn Sánchez, Dawn Olivieri, Luke Goss, Missi Pyle, William Fichtner",,[71],Horror Thriller
72,A P R I L,20,The House of Tomorrow,Shout! Studios,"Peter Livolsi (director/screenplay); Ellen Burstyn, Nick Offerman, Asa Butterfield, Alex Wolff, Maude Apatow, Michaela Watkins",,[72],Drama Comedy
73,A P R I L,27,Avengers: Infinity War,Marvel Studios,"Russo brothers (directors); Christopher Markus, Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldaña, Josh Brolin, Chris Pratt",,[73],Adventure Action Science Fiction
74,A P R I L,27,Disobedience,Bleecker Street,"Sebastián Lelio (director/screenplay); Rebecca Lenkiewicz (screenplay); Rachel Weisz, Rachel McAdams, Alessandro Nivola",,[26],Drama Romance
75,A P R I L,27,Backstabbing for Beginners,A24,"Per Fly (director/screenplay); Daniel Pyne (screenplay); Theo James, Ben Kingsley, Belçim Bilgin, Jacqueline Bisset",,[74],Thriller Drama History
76,A P R I L,27,Kings,The Orchard,"Deniz Gamze Ergüven (director/screenplay); Halle Berry, Daniel Craig",,[75],Romance Drama Crime
77,M A Y,4,Overboard,Metro-Goldwyn-Mayer / Lionsgate / Pantelion Films,"Rob Greenberg (director); Bob Fisher, Leslie Dixon (screenplay); Eugenio Derbez, Anna Faris, Eva Longoria, Mel Rodriguez, Cecilia Suárez, Mariana Treviño, Fernando Luján, John Hannah",,[71],Comedy Romance
78,M A Y,4,Tully,Focus Features / Bron Studios,"Jason Reitman (director); Diablo Cody (screenplay); Charlize Theron, Mackenzie Davis, Ron Livingston, Mark Duplass",,[76],Comedy Drama
79,M A Y,4,Bad Samaritan,Electric Entertainment,"Dean Devlin (director); Brandon Boyce (screenplay); David Tennant, Robert Sheehan, Carlito Olivero, Kerry Condon, Jacqueline Byers",,[77],Thriller Crime Horror
80,M A Y,4,The Cleanse,Vertical Entertainment,"Bobby Miller (director/screenplay); Johnny Galecki, Anna Friel, Oliver Platt, Anjelica Huston, Kyle Gallner, Kevin J. O'Connor, Diana Bang",,[78],Drama Comedy Fantasy Horror
81,M A Y,11,Life of the Party,Warner Bros. Pictures / New Line Cinema,"Ben Falcone (director/screenplay); Melissa McCarthy (screenplay); Melissa McCarthy, Gillian Jacobs, Maya Rudolph, Julie Bowen, Matt Walsh, Molly Gordon, Stephen Root, Jacki Weaver",,[79],Comedy
82,M A Y,11,Breaking In,Universal Pictures,"James McTeigue (director); Ryan Engle (screenplay); Gabrielle Union, Billy Burke, Richard Cabral, Ajiona Alexus, Levi Meaden, Jason Winston George, Seth Carr, Christa Miller",,[80],Thriller Crime Action
83,M A Y,11,The Seagull,Sony Pictures Classics,"Michael Mayer (director); Stephen Karam (screenplay); Annette Bening, Saoirse Ronan, Corey Stoll, Elisabeth Moss, Mare Winningham, Jon Tenney, Glenn Fleshler, Michael Zegen, Billy Howle, Brian Dennehy",,[81],Drama Romance Comedy
84,M A Y,11,Terminal,RLJE Films,"Vaughn Stein (director/screenplay); Margot Robbie, Simon Pegg, Dexter Fletcher, Max Irons, Mike Myers",,[82],Crime Drama Thriller
85,M A Y,18,Deadpool 2,20th Century Fox / Marvel Entertainment / TSG Entertainment,"David Leitch (director); Rhett Reese, Paul Wernick, Ryan Reynolds (screenplay); Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Brianna Hildebrand, Jack Kesy",,[83],Action Comedy Adventure
86,M A Y,18,Book Club,Paramount Pictures,"Bill Holderman (director/screenplay); Erin Simms (screenplay); Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen",,[84],Horror Thriller
87,M A Y,18,First Reformed,A24,"Paul Schrader (director/screenplay); Ethan Hawke, Amanda Seyfried, Cedric the Entertainer",,[85],Drama
88,M A Y,18,Show Dogs,Global Road Entertainment,"Raja Gosnell (director); Max Botkin, Marc Hyman (screenplay); Will Arnett, Ludacris, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Stanley Tucci",,[86],Adventure Crime Family Comedy
89,M A Y,25,Solo: A Star Wars Story,Lucasfilm,"Ron Howard (director); Jonathan Kasdan, Lawrence Kasdan (screenplay); Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandiwe Newton, Phoebe Waller-Bridge, Joonas Suotamo, Paul Bettany",,[87],Science Fiction Adventure Action
90,M A Y,25,How to Talk to Girls at Parties,A24,"John Cameron Mitchell (director/screenplay); Philippa Goslett (screenplay); Elle Fanning, Alex Sharp, Nicole Kidman, Ruth Wilson, Matt Lucas",,[88],Comedy Music Romance Science Fiction
91,M A Y,25,In Darkness,Vertical Entertainment,"Anthony Byrne (director/screenplay); Natalie Dormer (screenplay); Natalie Dormer, Ed Skrein, Emily Ratajkowski, Joely Richardson, Olegar Fedoro",,[89],Thriller Mystery
92,M A Y,25,Future World,Lionsgate Premiere,"James Franco (director); Bruce Thierry Cheung (director/screenplay); Jay Davis (screenplay); James Franco, Suki Waterhouse, Jeffrey Wahlberg, Margarita Levieva, Snoop Dogg, Twin Shadow, Method Man, Lucy Liu, Milla Jovovich",,[90],Science Fiction
93,J U N E,1,Action Point,Paramount Pictures,"Tim Kirkby (director); John Altschuler, Dave Krinsky (screenplay); Johnny Knoxville, Chris Pontius",,[91],Comedy
94,J U N E,1,Adrift,STX Entertainment,"Baltasar Kormákur (director); Aaron Kandell, Jordan Kandell, David Branson Smith (screenplay); Shailene Woodley, Sam Claflin",,[92],Thriller Romance Adventure
95,J U N E,1,Upgrade,BH Tilt,"Leigh Whannell (director/screenplay); Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson",,[93],Action Thriller Science Fiction
96,J U N E,1,American Animals,The Orchard / MoviePass Ventures,"Bart Layton (director/screenplay); Evan Peters, Barry Keoghan, Blake Jenner, Jared Abrahamson, Udo Kier, Ann Dowd",,[94],Drama Crime Documentary
97,J U N E,1,Social Animals,Vertical Entertainment,"Theresa Bennett (director/screenplay); Noël Wells, Josh Radnor, Aya Cash, Carly Chaikin, Fortune Feimster, Samira Wiley",,[95],Comedy Romance
98,J U N E,8,Ocean's 8,Warner Bros. Pictures / Village Roadshow Pictures,"Gary Ross (director/screenplay); Olivia Milch (screenplay); Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Helena Bonham Carter",,[96],Crime Comedy Action
99,J U N E,8,Won't You Be My Neighbor?,Focus Features,"Morgan Neville (director); Fred Rogers, François Clemmons, Yo-Yo Ma, Joe Negri, David Newell, Tom Junod, Joanne Rogers",,[97],Documentary
100,J U N E,8,Hereditary,A24,"Ari Aster (director/screenplay); Toni Collette, Alex Wolff, Milly Shapiro, Ann Dowd, Gabriel Byrne",,[98],Horror Mystery Thriller
101,J U N E,8,Hotel Artemis,Global Road Entertainment,"Drew Pearce (director/screenplay); Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum, Brian Tyree Henry, Jenny Slate, Zachary Quinto, Charlie Day, Dave Bautista",,[99],Thriller Science Fiction Action
102,J U N E,13,Superfly,Columbia Pictures / Silver Pictures,"Director X (director); Alex Tse (screenplay); Trevor Jackson, Jason Mitchell, Michael K. Williams, Lex Scott Davis, Jennifer Morrison",,[100],Action Crime
