director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Cory Finley, Francie Swift, Paul Sparks, Paul Sparks,Drama Thriller,thoroughbreds, Francie Swift  Paul Sparks  Paul Sparks Cory Finley Drama Thriller
Johannes Roberts, Lewis Pullman, Bailee Madison, Bailee Madison,Horror Thriller,the strangers: prey at night, Lewis Pullman  Bailee Madison  Bailee Madison Johannes Roberts Horror Thriller
Rob Cohen, Ben Cross, James Cutler, James Cutler,Action Crime Thriller,the hurricane heist, Ben Cross  James Cutler  James Cutler Rob Cohen Action Crime Thriller
Roar Uthaug, Kristin Scott Thomas, Daniel Wu, Daniel Wu,Action Adventure Fantasy,tomb raider, Kristin Scott Thomas  Daniel Wu  Daniel Wu Roar Uthaug Action Adventure Fantasy
Greg Berlanti, Jennifer Garner, Josh Duhamel, Josh Duhamel,Comedy Drama Romance,"love, simon", Jennifer Garner  Josh Duhamel  Josh Duhamel Greg Berlanti Comedy Drama Romance
Erwin brothers, Dennis Quaid, Cloris Leachman, Cloris Leachman,Music Drama,i can only imagine, Dennis Quaid  Cloris Leachman  Cloris Leachman Erwin brothers Music Drama
José Padilha, Denis Ménochet, Lior Ashkenazi, Lior Ashkenazi,Thriller Drama Crime,entebbe, Denis Ménochet  Lior Ashkenazi  Lior Ashkenazi José Padilha Thriller Drama Crime
Laurie Collyer, Anna Paquin, Whoopi Goldberg, Whoopi Goldberg,Comedy,furlough, Anna Paquin  Whoopi Goldberg  Whoopi Goldberg Laurie Collyer Comedy
Eric England, Kurt Fuller, Robin Bartlett, Robin Bartlett,Thriller Drama,josie, Kurt Fuller  Robin Bartlett  Robin Bartlett Eric England Thriller Drama
Max Winkler, Dylan Gelula, Joey Morgan, Joey Morgan,Comedy Drama,flower, Dylan Gelula  Joey Morgan  Joey Morgan Max Winkler Comedy Drama
Steven S. DeKnight, Charlie Day, Zhang Jin, Zhang Jin,Action Fantasy Science Fiction Adventure,pacific rim uprising, Charlie Day  Zhang Jin  Zhang Jin Steven S. DeKnight Action Fantasy Science Fiction Adventure
Wes Anderson, Frank Wood, Harvey Keitel, Harvey Keitel,Adventure Comedy Animation,isle of dogs, Frank Wood  Harvey Keitel  Harvey Keitel Wes Anderson Adventure Comedy Animation
John Stevenson, Julio Bonet, Eve Webster, Eve Webster,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes, Julio Bonet  Eve Webster  Eve Webster John Stevenson Animation Family Fantasy Comedy Adventure Mystery
Steven Soderbergh, Matt Damon, Amy Irving, Amy Irving,Horror Thriller,unsane, Matt Damon  Amy Irving  Amy Irving Steven Soderbergh Horror Thriller
Andrew Hyatt, John Lynch, Joanne Whalley, Joanne Whalley,Drama,"paul, apostle of christ", John Lynch  Joanne Whalley  Joanne Whalley Andrew Hyatt Drama
Stanley Tucci, Sylvie Testud, James Faulkner, James Faulkner,History Drama,final portrait, Sylvie Testud  James Faulkner  James Faulkner Stanley Tucci History Drama
Scott Speer, Suleka Mathew, Quinn Shephard, Quinn Shephard,Romance Drama,midnight sun, Suleka Mathew  Quinn Shephard  Quinn Shephard Scott Speer Romance Drama
Steven Spielberg, Mark Rylance, Simon Pegg, Simon Pegg,Adventure Action Science Fiction,ready player one, Mark Rylance  Simon Pegg  Simon Pegg Steven Spielberg Adventure Action Science Fiction
Tyler Perry, Kendrick Cross, Nelson Estevez, Nelson Estevez,Drama Thriller,acrimony, Kendrick Cross  Nelson Estevez  Nelson Estevez Tyler Perry Drama Thriller
Michael Mason, Tatum O'Neal, Ted McGinley, Ted McGinley,Drama Fantasy,god's not dead: a light in darkness, Tatum O'Neal  Ted McGinley  Ted McGinley Michael Mason Drama Fantasy
Aaron Katz, John Cho, Ricki Lake, Ricki Lake,Mystery Crime Drama Thriller,gemini, John Cho  Ricki Lake  Ricki Lake Aaron Katz Mystery Crime Drama Thriller
