director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
andrew morahan,christopher lambert,mako,mario van peebles,action fantasy romance sci-fi,highlander: the final dimension ,christopher lambert mako mario van peebles andrew morahan action fantasy romance sci-fi
bob rafelson,harold perrineau,mike starr,judy davis,crime drama thriller,blood and wine ,harold perrineau mike starr judy davis bob rafelson crime drama thriller
michael cohn,david conrad,chris bauer,monica keena,fantasy horror,snow white: a tale of terror ,david conrad chris bauer monica keena michael cohn fantasy horror
woody allen,woody allen,elizabeth berkley,peter gerety,comedy crime mystery romance,the curse of the jade scorpion ,woody allen elizabeth berkley peter gerety woody allen comedy crime mystery romance
david o. russell,jake gyllenhaal,kirstie alley,beverly d'angelo,comedy romance,accidental love ,jake gyllenhaal kirstie alley beverly d'angelo david o. russell comedy romance
alan shapiro,paul hogan,chelsea field,jessica wesson,adventure family,flipper ,paul hogan chelsea field jessica wesson alan shapiro adventure family
tarsem singh,ryan reynolds,derek luke,sandra ellis lafferty,action mystery sci-fi thriller,self/less ,ryan reynolds derek luke sandra ellis lafferty tarsem singh action mystery sci-fi thriller
fernando meirelles,archie panjabi,danny huston,donald sumpter,drama mystery romance thriller,the constant gardener ,archie panjabi danny huston donald sumpter fernando meirelles drama mystery romance thriller
mel gibson,christo jivkov,maia morgenstern,hristo shopov,drama,the passion of the christ ,christo jivkov maia morgenstern hristo shopov mel gibson drama
chris columbus,robin williams,mara wilson,matthew lawrence,comedy drama family romance,mrs. doubtfire ,robin williams mara wilson matthew lawrence chris columbus comedy drama family romance
barry levinson,tom cruise,valeria golino,beth grant,drama,rain man ,tom cruise valeria golino beth grant barry levinson drama
clint eastwood,clint eastwood,dreama walker,ahney her,drama,gran torino ,clint eastwood dreama walker ahney her clint eastwood drama
oliver stone,toby jones,scott glenn,bruce mcgill,biography drama history,w. ,toby jones scott glenn bruce mcgill oliver stone biography drama history
pierre morel,liam neeson,holly valance,xander berkeley,action thriller,taken ,liam neeson holly valance xander berkeley pierre morel action thriller
michael hoffman,luke bracey,gerald mcraney,clarke peters,drama romance,the best of me ,luke bracey gerald mcraney clarke peters michael hoffman drama romance
mick jackson,bill cobbs,mike starr,devaughn nixon,action drama music romance,the bodyguard ,bill cobbs mike starr devaughn nixon mick jackson action drama music romance
steven spielberg,liam neeson,embeth davidtz,caroline goodall,biography drama history,schindler's list ,liam neeson embeth davidtz caroline goodall steven spielberg biography drama history
tate taylor,emma stone,bryce dallas howard,mike vogel,drama,the help ,emma stone bryce dallas howard mike vogel tate taylor drama
bill condon,benedict cumberbatch,peter capaldi,jamie blackley,biography drama thriller,the fifth estate ,benedict cumberbatch peter capaldi jamie blackley bill condon biography drama thriller
raja gosnell,sarah michelle gellar,linda cardellini,tim blake nelson,adventure comedy family fantasy horror mystery,scooby-doo 2: monsters unleashed ,sarah michelle gellar linda cardellini tim blake nelson raja gosnell adventure comedy family fantasy horror mystery
oleg stepchenko,jason flemyng,igor jijikine,agnia ditkovskite,adventure fantasy mystery thriller,viy ,jason flemyng igor jijikine agnia ditkovskite oleg stepchenko adventure fantasy mystery thriller
ronny yu,katharine isabelle,jason ritter,zack ward,action horror thriller,freddy vs. jason ,katharine isabelle jason ritter zack ward ronny yu action horror thriller
michael winterbottom,cara delevingne,ava acres,sara stewart,drama,the face of an angel ,cara delevingne ava acres sara stewart michael winterbottom drama
john a. davis,martin short,rob paulsen,andrea martin,action adventure animation comedy family sci-fi,jimmy neutron: boy genius ,martin short rob paulsen andrea martin john a. davis action adventure animation comedy family sci-fi
matt reeves,mike vogel,ben feldman,liza lapira,action adventure horror sci-fi,cloverfield ,mike vogel ben feldman liza lapira matt reeves action adventure horror sci-fi
michael pressman,kevin nash,paige turco,ernie reyes jr.,action adventure comedy family sci-fi,teenage mutant ninja turtles ii: the secret of the ooze ,kevin nash paige turco ernie reyes jr. michael pressman action adventure comedy family sci-fi
brian de palma,robert de niro,billy drago,charles martin smith,crime drama thriller,the untouchables ,robert de niro billy drago charles martin smith brian de palma crime drama thriller
ethan coen,kelly macdonald,stephen root,barry corbin,crime drama thriller,no country for old men ,kelly macdonald stephen root barry corbin ethan coen crime drama thriller
tim story,bruce mcgill,tika sumpter,bryan callen,action comedy crime romance,ride along ,bruce mcgill tika sumpter bryan callen tim story action comedy crime romance
sharon maguire,colin firth,jim broadbent,shirley henderson,comedy drama romance,bridget jones's diary ,colin firth jim broadbent shirley henderson sharon maguire comedy drama romance
lasse hallström,lena olin,leslie caron,hugh o'conor,drama romance,chocolat ,lena olin leslie caron hugh o'conor lasse hallström drama romance
charles herman-wurmfeld,mary lynn rajskub,bruce mcgill,bob newhart,comedy,"legally blonde 2: red, white & blonde ",mary lynn rajskub bruce mcgill bob newhart charles herman-wurmfeld comedy
andy fickman,bailee madison,gedde watanabe,tom everett scott,comedy family,parental guidance ,bailee madison gedde watanabe tom everett scott andy fickman comedy family
ivan reitman,natalie portman,greta gerwig,mindy kaling,comedy romance,no strings attached ,natalie portman greta gerwig mindy kaling ivan reitman comedy romance
george p. cosmatos,michael biehn,dana delany,powers boothe,action biography drama history romance western,tombstone ,michael biehn dana delany powers boothe george p. cosmatos action biography drama history romance western
andrzej bartkowiak,jet li,delroy lindo,aaliyah,action crime thriller,romeo must die ,jet li delroy lindo aaliyah andrzej bartkowiak action crime thriller
james wong,chelan simmons,gina holden,crystal lowe,horror,final destination 3 ,chelan simmons gina holden crystal lowe james wong horror
scott hicks,blythe danner,riley thomas stewart,jay r. ferguson,drama romance,the lucky one ,blythe danner riley thomas stewart jay r. ferguson scott hicks drama romance
gabor csupo,josh hutcherson,zooey deschanel,bailee madison,adventure drama family fantasy,bridge to terabithia ,josh hutcherson zooey deschanel bailee madison gabor csupo adventure drama family fantasy
marc forster,johnny depp,kate winslet,kelly macdonald,biography drama family,finding neverland ,johnny depp kate winslet kelly macdonald marc forster biography drama family
tyler perry,alicia witt,tika sumpter,larry the cable guy,comedy drama,a madea christmas ,alicia witt tika sumpter larry the cable guy tyler perry comedy drama
joe carnahan,liam neeson,frank grillo,james badge dale,action adventure drama thriller,the grey ,liam neeson frank grillo james badge dale joe carnahan action adventure drama thriller
john polson,robert de niro,dylan baker,robert john burke,drama horror mystery thriller,hide and seek ,robert de niro dylan baker robert john burke john polson drama horror mystery thriller
adam mckay,darcy donavan,will ferrell,steve carell,comedy,anchorman: the legend of ron burgundy ,darcy donavan will ferrell steve carell adam mckay comedy
martin scorsese,robert de niro,mike starr,paul sorvino,biography crime drama,goodfellas ,robert de niro mike starr paul sorvino martin scorsese biography crime drama
harald zwart,daniel roebuck,frankie muniz,chris gauthier,action adventure comedy crime family romance thriller,agent cody banks ,daniel roebuck frankie muniz chris gauthier harald zwart action adventure comedy crime family romance thriller
kirk jones,colin firth,kelly macdonald,imelda staunton,comedy family fantasy,nanny mcphee ,colin firth kelly macdonald imelda staunton kirk jones comedy family fantasy
brian de palma,al pacino,f. murray abraham,mary elizabeth mastrantonio,crime drama,scarface ,al pacino f. murray abraham mary elizabeth mastrantonio brian de palma crime drama
steve oedekerk,kelly preston,michael mckean,rebecca gayheart,action adventure comedy crime,nothing to lose ,kelly preston michael mckean rebecca gayheart steve oedekerk action adventure comedy crime
bernardo bertolucci,cary-hiroyuki tagawa,joan chen,victor wong,biography drama history,the last emperor ,cary-hiroyuki tagawa joan chen victor wong bernardo bertolucci biography drama history
baltasar kormákur,j.k. simmons,david o'hara,lukas haas,action crime drama thriller,contraband ,j.k. simmons david o'hara lukas haas baltasar kormákur action crime drama thriller
brett ratner,heather locklear,paul sorvino,faizon love,action comedy crime thriller,money talks ,heather locklear paul sorvino faizon love brett ratner action comedy crime thriller
paul thomas anderson,jim meskimen,paul f. tompkins,kevin breznahan,drama,there will be blood ,jim meskimen paul f. tompkins kevin breznahan paul thomas anderson drama
cathy malkasian,alfre woodard,flea,cree summer,adventure animation comedy family fantasy,the wild thornberrys movie ,alfre woodard flea cree summer cathy malkasian adventure animation comedy family fantasy
john eng,elizabeth daily,cree summer,nancy cartwright,adventure animation comedy family fantasy musical,rugrats go wild ,elizabeth daily cree summer nancy cartwright john eng adventure animation comedy family fantasy musical
malcolm d. lee,dave chappelle,eddie griffin,chi mcbride,action comedy,undercover brother ,dave chappelle eddie griffin chi mcbride malcolm d. lee action comedy
ken kwapis,mike vogel,america ferrera,kyle schmid,comedy drama family romance,the sisterhood of the traveling pants ,mike vogel america ferrera kyle schmid ken kwapis comedy drama family romance
chris nahon,jet li,bridget fonda,max ryan,action crime drama thriller,kiss of the dragon ,jet li bridget fonda max ryan chris nahon action crime drama thriller
fred wolf,emma stone,katharine mcphee,beverly d'angelo,comedy romance,the house bunny ,emma stone katharine mcphee beverly d'angelo fred wolf comedy romance
bille woodruff,alfre woodard,keshia knight pulliam,lisaraye mccoy,comedy,beauty shop ,alfre woodard keshia knight pulliam lisaraye mccoy bille woodruff comedy
craig gillespie,jon hamm,suraj sharma,gregory alan williams,biography drama sport,million dollar arm ,jon hamm suraj sharma gregory alan williams craig gillespie biography drama sport
phillip noyce,jeff bridges,meryl streep,alexander skarsgård,drama romance sci-fi,the giver ,jeff bridges meryl streep alexander skarsgård phillip noyce drama romance sci-fi
